X_id,REPORT_YEAR,CATEGORY,SUBTYPE,ASSAULT_SUBTYPE,SEX,AGE_GROUP,AGE_COHORT,COUNT_
1,2014,Crimes Against the Person,Sexual Violation,N/A,M,Adult,18 to 24,23
2,2014,Crimes Against the Person,Sexual Violation,N/A,M,Adult,25 to 34,29
3,2014,Crimes Against the Person,Sexual Violation,N/A,M,Adult,35 to 44,9
4,2014,Crimes Against the Person,Sexual Violation,N/A,M,Adult,45 to 54,13
5,2014,Crimes Against the Person,Sexual Violation,N/A,M,Adult,55 to 64,7
6,2014,Crimes Against the Person,Sexual Violation,N/A,M,Adult,65+,2
7,2014,Crimes Against the Person,Sexual Violation,N/A,M,Child,<12,106
9,2014,Crimes Against the Person,Sexual Violation,N/A,M,Youth,12 to 17,70
11,2015,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,25 to 34,4
12,2015,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,35 to 44,7
13,2015,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,45 to 54,2
14,2015,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,65+,2
16,2015,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,18 to 24,1
17,2015,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,25 to 34,26
18,2015,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,35 to 44,25
19,2015,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,45 to 54,10
20,2015,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,55 to 64,3
21,2015,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,65+,5
24,2015,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,F,Adult,25 to 34,1
26,2015,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,18 to 24,1
27,2015,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,35 to 44,1
28,2015,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,45 to 54,2
29,2015,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,55 to 64,1
31,2015,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,18 to 24,10
32,2015,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,25 to 34,16
33,2015,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,35 to 44,4
34,2015,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,45 to 54,3
35,2015,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,55 to 64,2
36,2015,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,65+,1
38,2015,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,18 to 24,34
39,2015,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,25 to 34,84
40,2015,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,35 to 44,31
41,2015,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,45 to 54,19
42,2015,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,55 to 64,3
43,2015,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,65+,3
45,2015,Crimes Against the Person,Assault,Other,F,Adult,18 to 24,1458
46,2015,Crimes Against the Person,Assault,Other,F,Adult,25 to 34,2042
47,2015,Crimes Against the Person,Assault,Other,F,Adult,35 to 44,1270
48,2015,Crimes Against the Person,Assault,Other,F,Adult,45 to 54,975
49,2015,Crimes Against the Person,Assault,Other,F,Adult,55 to 64,438
50,2015,Crimes Against the Person,Assault,Other,F,Adult,65+,305
51,2015,Crimes Against the Person,Robbery,N/A,M,Child,<12,16
53,2015,Crimes Against the Person,Robbery,N/A,M,Youth,12 to 17,615
55,2015,Crimes Against the Person,Sexual Violation,N/A,F,Adult,18 to 24,473
56,2015,Crimes Against the Person,Sexual Violation,N/A,F,Adult,25 to 34,363
57,2015,Crimes Against the Person,Sexual Violation,N/A,F,Adult,35 to 44,180
58,2015,Crimes Against the Person,Sexual Violation,N/A,F,Adult,45 to 54,113
59,2015,Crimes Against the Person,Sexual Violation,N/A,F,Adult,55 to 64,35
60,2015,Crimes Against the Person,Sexual Violation,N/A,F,Adult,65+,33
61,2015,Crimes Against the Person,Sexual Violation,N/A,F,Child,<12,234
63,2015,Crimes Against the Person,Sexual Violation,N/A,F,Youth,12 to 17,410
64,2015,Crimes Against the Person,Sexual Violation,N/A,M,Adult,18 to 24,41
65,2015,Crimes Against the Person,Sexual Violation,N/A,M,Adult,25 to 34,31
66,2015,Crimes Against the Person,Sexual Violation,N/A,M,Adult,35 to 44,15
67,2015,Crimes Against the Person,Sexual Violation,N/A,M,Adult,45 to 54,14
68,2015,Crimes Against the Person,Sexual Violation,N/A,M,Adult,55 to 64,4
69,2015,Crimes Against the Person,Sexual Violation,N/A,M,Adult,65+,9
70,2015,Crimes Against the Person,Sexual Violation,N/A,M,Child,<12,100
72,2015,Crimes Against the Person,Sexual Violation,N/A,M,Youth,12 to 17,70
74,2016,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,18 to 24,3
75,2016,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,25 to 34,14
76,2016,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,35 to 44,5
77,2016,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,45 to 54,6
79,2016,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,18 to 24,3
80,2016,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,25 to 34,33
81,2016,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,35 to 44,26
82,2016,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,45 to 54,13
83,2016,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,55 to 64,5
84,2016,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,65+,1
86,2016,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,F,Adult,35 to 44,2
87,2016,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,F,Adult,45 to 54,1
89,2016,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,25 to 34,1
90,2016,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,45 to 54,5
92,2016,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,18 to 24,11
93,2016,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,25 to 34,13
94,2016,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,35 to 44,11
95,2016,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,45 to 54,2
96,2016,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,55 to 64,1
97,2016,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,65+,1
99,2016,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,18 to 24,49
100,2016,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,25 to 34,79
101,2014,Crimes Against the Person,Assault,Aggravated Peace Officer,M,Adult,25 to 34,2
102,2014,Crimes Against the Person,Assault,Aggravated Peace Officer,M,Adult,55 to 64,1
103,2014,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,18 to 24,1
104,2014,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,25 to 34,5
105,2014,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,35 to 44,3
106,2014,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,45 to 54,1
107,2014,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,55 to 64,1
109,2014,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,18 to 24,2
110,2014,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,25 to 34,21
111,2014,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,35 to 44,19
112,2014,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,45 to 54,14
113,2014,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,55 to 64,1
115,2014,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,F,Adult,25 to 34,1
116,2014,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,F,Adult,35 to 44,1
118,2014,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,25 to 34,4
119,2014,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,35 to 44,2
120,2014,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,45 to 54,1
122,2014,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,18 to 24,1
123,2014,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,25 to 34,22
124,2014,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,35 to 44,4
125,2014,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,45 to 54,1
127,2014,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,18 to 24,33
128,2014,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,25 to 34,84
129,2014,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,35 to 44,35
130,2014,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,45 to 54,14
131,2014,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,55 to 64,5
132,2014,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,65+,1
134,2014,Crimes Against the Person,Assault,Other,F,Adult,18 to 24,1464
135,2014,Crimes Against the Person,Assault,Other,F,Adult,25 to 34,1905
136,2014,Crimes Against the Person,Assault,Other,F,Adult,35 to 44,1276
137,2014,Crimes Against the Person,Assault,Other,F,Adult,45 to 54,921
138,2014,Crimes Against the Person,Assault,Other,F,Adult,55 to 64,388
139,2014,Crimes Against the Person,Assault,Other,F,Adult,65+,287
140,2014,Crimes Against the Person,Assault,Other,F,Child,<12,325
142,2014,Crimes Against the Person,Assault,Other,F,Youth,12 to 17,525
143,2014,Crimes Against the Person,Assault,Other,M,Adult,18 to 24,1057
144,2014,Crimes Against the Person,Assault,Other,M,Adult,25 to 34,1667
145,2014,Crimes Against the Person,Assault,Other,M,Adult,35 to 44,1141
146,2014,Crimes Against the Person,Assault,Other,M,Adult,45 to 54,1183
147,2014,Crimes Against the Person,Assault,Other,M,Adult,55 to 64,611
148,2014,Crimes Against the Person,Assault,Other,M,Adult,65+,285
149,2014,Crimes Against the Person,Assault,Other,M,Child,<12,506
151,2014,Crimes Against the Person,Assault,Other,M,Youth,12 to 17,559
171,2014,Crimes Against the Person,Robbery,N/A,F,Adult,18 to 24,244
172,2014,Crimes Against the Person,Robbery,N/A,F,Adult,25 to 34,195
173,2014,Crimes Against the Person,Robbery,N/A,F,Adult,35 to 44,120
174,2014,Crimes Against the Person,Robbery,N/A,F,Adult,45 to 54,138
175,2014,Crimes Against the Person,Robbery,N/A,F,Adult,55 to 64,70
176,2014,Crimes Against the Person,Robbery,N/A,F,Adult,65+,61
177,2014,Crimes Against the Person,Robbery,N/A,F,Child,<12,6
179,2014,Crimes Against the Person,Robbery,N/A,F,Youth,12 to 17,70
180,2014,Crimes Against the Person,Robbery,N/A,M,Adult,18 to 24,675
181,2014,Crimes Against the Person,Robbery,N/A,M,Adult,25 to 34,422
182,2014,Crimes Against the Person,Robbery,N/A,M,Adult,35 to 44,224
183,2014,Crimes Against the Person,Robbery,N/A,M,Adult,45 to 54,215
184,2014,Crimes Against the Person,Robbery,N/A,M,Adult,55 to 64,113
185,2014,Crimes Against the Person,Robbery,N/A,M,Adult,65+,86
186,2014,Crimes Against the Person,Robbery,N/A,M,Child,<12,29
188,2014,Crimes Against the Person,Robbery,N/A,M,Youth,12 to 17,659
192,2014,Crimes Against the Person,Sexual Violation,N/A,F,Adult,18 to 24,477
193,2014,Crimes Against the Person,Sexual Violation,N/A,F,Adult,25 to 34,357
194,2014,Crimes Against the Person,Sexual Violation,N/A,F,Adult,35 to 44,154
195,2014,Crimes Against the Person,Sexual Violation,N/A,F,Adult,45 to 54,103
196,2014,Crimes Against the Person,Sexual Violation,N/A,F,Adult,55 to 64,42
197,2014,Crimes Against the Person,Sexual Violation,N/A,F,Adult,65+,34
198,2014,Crimes Against the Person,Sexual Violation,N/A,F,Child,<12,243
200,2014,Crimes Against the Person,Sexual Violation,N/A,F,Youth,12 to 17,400
201,2016,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,35 to 44,42
202,2016,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,45 to 54,24
203,2016,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,55 to 64,4
204,2016,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,65+,2
206,2016,Crimes Against the Person,Assault,Assault Resist Arrest,M,Youth,12 to 17,1
210,2016,Crimes Against the Person,Assault,Other,F,Adult,18 to 24,1499
211,2016,Crimes Against the Person,Assault,Other,F,Adult,25 to 34,2011
212,2016,Crimes Against the Person,Assault,Other,F,Adult,35 to 44,1311
213,2016,Crimes Against the Person,Assault,Other,F,Adult,45 to 54,938
214,2016,Crimes Against the Person,Assault,Other,F,Adult,55 to 64,485
215,2016,Crimes Against the Person,Assault,Other,F,Adult,65+,366
216,2016,Crimes Against the Person,Assault,Other,F,Child,<12,260
218,2016,Crimes Against the Person,Assault,Other,F,Youth,12 to 17,575
219,2016,Crimes Against the Person,Assault,Other,M,Adult,18 to 24,1250
220,2016,Crimes Against the Person,Assault,Other,M,Adult,25 to 34,1857
221,2016,Crimes Against the Person,Assault,Other,M,Adult,35 to 44,1316
222,2016,Crimes Against the Person,Assault,Other,M,Adult,45 to 54,1326
223,2016,Crimes Against the Person,Assault,Other,M,Adult,55 to 64,759
224,2016,Crimes Against the Person,Assault,Other,M,Adult,65+,354
225,2016,Crimes Against the Person,Assault,Other,M,Child,<12,519
227,2016,Crimes Against the Person,Assault,Other,M,Youth,12 to 17,624
251,2017,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,25 to 34,17
252,2017,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,35 to 44,11
253,2017,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,45 to 54,7
254,2017,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,55 to 64,3
256,2017,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,18 to 24,4
257,2017,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,25 to 34,51
258,2017,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,35 to 44,52
259,2017,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,45 to 54,32
260,2017,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,55 to 64,4
261,2017,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,65+,3
264,2017,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,F,Adult,25 to 34,4
266,2017,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,18 to 24,2
267,2017,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,25 to 34,3
268,2017,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,35 to 44,8
269,2017,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,45 to 54,3
270,2017,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,55 to 64,3
271,2017,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,65+,1
273,2017,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,18 to 24,10
274,2017,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,25 to 34,15
275,2017,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,35 to 44,3
276,2017,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,45 to 54,5
277,2017,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,55 to 64,4
279,2017,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,18 to 24,76
280,2017,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,25 to 34,76
281,2017,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,35 to 44,31
282,2017,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,45 to 54,27
283,2017,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,55 to 64,7
284,2017,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,65+,4
286,2017,Crimes Against the Person,Assault,Assault Resist Arrest,M,Youth,12 to 17,2
287,2017,Crimes Against the Person,Assault,Other,F,Adult,18 to 24,1419
288,2017,Crimes Against the Person,Assault,Other,F,Adult,25 to 34,2063
289,2017,Crimes Against the Person,Assault,Other,F,Adult,35 to 44,1376
290,2017,Crimes Against the Person,Assault,Other,F,Adult,45 to 54,999
291,2017,Crimes Against the Person,Assault,Other,F,Adult,55 to 64,489
292,2017,Crimes Against the Person,Assault,Other,F,Adult,65+,369
293,2017,Crimes Against the Person,Assault,Other,F,Child,<12,290
295,2017,Crimes Against the Person,Assault,Other,F,Youth,12 to 17,602
296,2017,Crimes Against the Person,Assault,Other,M,Adult,18 to 24,1315
297,2017,Crimes Against the Person,Assault,Other,M,Adult,25 to 34,1937
298,2017,Crimes Against the Person,Assault,Other,M,Adult,35 to 44,1307
299,2017,Crimes Against the Person,Assault,Other,M,Adult,45 to 54,1316
300,2017,Crimes Against the Person,Assault,Other,M,Adult,55 to 64,802
301,2015,Crimes Against the Person,Assault,Other,F,Child,<12,296
303,2015,Crimes Against the Person,Assault,Other,F,Youth,12 to 17,510
304,2015,Crimes Against the Person,Assault,Other,M,Adult,18 to 24,1255
305,2015,Crimes Against the Person,Assault,Other,M,Adult,25 to 34,1696
306,2015,Crimes Against the Person,Assault,Other,M,Adult,35 to 44,1215
307,2015,Crimes Against the Person,Assault,Other,M,Adult,45 to 54,1301
308,2015,Crimes Against the Person,Assault,Other,M,Adult,55 to 64,683
309,2015,Crimes Against the Person,Assault,Other,M,Adult,65+,335
310,2015,Crimes Against the Person,Assault,Other,M,Child,<12,470
312,2015,Crimes Against the Person,Assault,Other,M,Youth,12 to 17,545
336,2015,Crimes Against the Person,Robbery,N/A,F,Adult,18 to 24,189
337,2015,Crimes Against the Person,Robbery,N/A,F,Adult,25 to 34,175
338,2015,Crimes Against the Person,Robbery,N/A,F,Adult,35 to 44,108
339,2015,Crimes Against the Person,Robbery,N/A,F,Adult,45 to 54,135
340,2015,Crimes Against the Person,Robbery,N/A,F,Adult,55 to 64,78
341,2015,Crimes Against the Person,Robbery,N/A,F,Adult,65+,61
