X_id,REPORT_YEAR,CATEGORY,SUBTYPE,ASSAULT_SUBTYPE,SEX,AGE_GROUP,AGE_COHORT,COUNT_
714,2019,Crimes Against the Person,Sexual Violation,N/A,F,Adult,55 to 64,59
715,2018,Crimes Against the Person,Assault,Other,F,Adult,25 to 34,2166
716,2019,Crimes Against the Person,Sexual Violation,N/A,F,Adult,65+,65
717,2018,Crimes Against the Person,Assault,Other,F,Adult,35 to 44,1512
718,2019,Crimes Against the Person,Sexual Violation,N/A,F,Child,<12,234
719,2018,Crimes Against the Person,Assault,Other,F,Adult,45 to 54,1039
721,2019,Crimes Against the Person,Sexual Violation,N/A,F,Youth,12 to 17,538
722,2019,Crimes Against the Person,Sexual Violation,N/A,M,Adult,18 to 24,61
723,2019,Crimes Against the Person,Sexual Violation,N/A,M,Adult,25 to 34,63
724,2019,Crimes Against the Person,Sexual Violation,N/A,M,Adult,35 to 44,22
725,2019,Crimes Against the Person,Sexual Violation,N/A,M,Adult,45 to 54,17
726,2019,Crimes Against the Person,Sexual Violation,N/A,M,Adult,55 to 64,11
727,2019,Crimes Against the Person,Sexual Violation,N/A,M,Adult,65+,6
728,2019,Crimes Against the Person,Sexual Violation,N/A,M,Child,<12,114
730,2019,Crimes Against the Person,Sexual Violation,N/A,M,Youth,12 to 17,90
734,2020,Crimes Against the Person,Assault,Aggravated Peace Officer,M,Adult,25 to 34,1
736,2020,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,18 to 24,3
737,2020,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,25 to 34,15
738,2020,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,35 to 44,8
739,2020,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,45 to 54,7
740,2020,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,65+,1
742,2020,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,18 to 24,11
743,2020,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,25 to 34,57
744,2020,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,35 to 44,26
745,2020,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,45 to 54,21
746,2020,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,55 to 64,12
747,2020,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,65+,16
750,2020,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,F,Adult,35 to 44,2
751,2020,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,F,Adult,55 to 64,1
753,2020,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,18 to 24,1
754,2020,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,25 to 34,3
755,2020,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,35 to 44,9
756,2020,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,45 to 54,7
757,2020,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,55 to 64,2
758,2020,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,65+,1
761,2018,Crimes Against the Person,Assault,Other,F,Adult,55 to 64,492
762,2018,Crimes Against the Person,Assault,Other,F,Adult,65+,396
763,2018,Crimes Against the Person,Assault,Other,F,Child,<12,308
765,2018,Crimes Against the Person,Assault,Other,F,Youth,12 to 17,532
766,2018,Crimes Against the Person,Assault,Other,M,Adult,18 to 24,1294
767,2018,Crimes Against the Person,Assault,Other,M,Adult,25 to 34,1972
768,2018,Crimes Against the Person,Assault,Other,M,Adult,35 to 44,1482
769,2018,Crimes Against the Person,Assault,Other,M,Adult,45 to 54,1363
770,2018,Crimes Against the Person,Assault,Other,M,Adult,55 to 64,918
771,2018,Crimes Against the Person,Assault,Other,M,Adult,65+,439
772,2018,Crimes Against the Person,Assault,Other,M,Child,<12,446
774,2018,Crimes Against the Person,Assault,Other,M,Youth,12 to 17,592
801,2021,Crimes Against the Person,Assault,Other,M,Adult,45 to 54,1268
802,2021,Crimes Against the Person,Assault,Other,M,Adult,55 to 64,1100
803,2021,Crimes Against the Person,Assault,Other,M,Adult,65+,516
804,2021,Crimes Against the Person,Assault,Other,M,Child,<12,301
806,2021,Crimes Against the Person,Assault,Other,M,Youth,12 to 17,471
837,2021,Crimes Against the Person,Robbery,N/A,F,Adult,18 to 24,93
838,2021,Crimes Against the Person,Robbery,N/A,F,Adult,25 to 34,136
839,2021,Crimes Against the Person,Robbery,N/A,F,Adult,35 to 44,82
840,2021,Crimes Against the Person,Robbery,N/A,F,Adult,45 to 54,66
841,2021,Crimes Against the Person,Robbery,N/A,F,Adult,55 to 64,65
842,2021,Crimes Against the Person,Robbery,N/A,F,Adult,65+,31
843,2021,Crimes Against the Person,Robbery,N/A,F,Child,<12,2
845,2021,Crimes Against the Person,Robbery,N/A,F,Youth,12 to 17,35
846,2021,Crimes Against the Person,Robbery,N/A,M,Adult,18 to 24,299
847,2021,Crimes Against the Person,Robbery,N/A,M,Adult,25 to 34,334
848,2021,Crimes Against the Person,Robbery,N/A,M,Adult,35 to 44,147
849,2021,Crimes Against the Person,Robbery,N/A,M,Adult,45 to 54,130
850,2021,Crimes Against the Person,Robbery,N/A,M,Adult,55 to 64,125
851,2021,Crimes Against the Person,Robbery,N/A,M,Adult,65+,70
852,2021,Crimes Against the Person,Robbery,N/A,M,Child,<12,12
853,2022,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,65+,1
857,2022,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,18 to 24,31
859,2022,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,25 to 34,53
861,2022,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,35 to 44,21
863,2022,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,45 to 54,12
865,2022,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,55 to 64,6
867,2022,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,65+,15
871,2022,Crimes Against the Person,Assault,Other,F,Adult,18 to 24,1397
873,2022,Crimes Against the Person,Assault,Other,F,Adult,25 to 34,2528
875,2022,Crimes Against the Person,Assault,Other,F,Adult,35 to 44,1747
877,2022,Crimes Against the Person,Assault,Other,F,Adult,45 to 54,1025
879,2022,Crimes Against the Person,Assault,Other,F,Adult,55 to 64,631
881,2022,Crimes Against the Person,Assault,Other,F,Adult,65+,456
882,2020,Crimes Against the Person,Robbery,N/A,F,Adult,18 to 24,135
883,2022,Crimes Against the Person,Assault,Other,F,Child,<12,239
884,2020,Crimes Against the Person,Robbery,N/A,F,Adult,25 to 34,138
886,2020,Crimes Against the Person,Robbery,N/A,F,Adult,35 to 44,102
887,2022,Crimes Against the Person,Assault,Other,F,Youth,12 to 17,622
888,2020,Crimes Against the Person,Robbery,N/A,F,Adult,45 to 54,118
889,2022,Crimes Against the Person,Assault,Other,M,Adult,18 to 24,1210
890,2020,Crimes Against the Person,Robbery,N/A,F,Adult,55 to 64,65
891,2022,Crimes Against the Person,Assault,Other,M,Adult,25 to 34,2272
892,2020,Crimes Against the Person,Robbery,N/A,F,Adult,65+,46
893,2022,Crimes Against the Person,Assault,Other,M,Adult,35 to 44,1729
894,2022,Crimes Against the Person,Assault,Other,M,Adult,45 to 54,1311
895,2022,Crimes Against the Person,Assault,Other,M,Adult,55 to 64,1086
896,2022,Crimes Against the Person,Assault,Other,M,Adult,65+,595
897,2022,Crimes Against the Person,Assault,Other,M,Child,<12,334
899,2022,Crimes Against the Person,Assault,Other,M,Youth,12 to 17,590
925,2020,Crimes Against the Person,Robbery,N/A,F,Child,<12,4
927,2020,Crimes Against the Person,Robbery,N/A,F,Youth,12 to 17,49
928,2020,Crimes Against the Person,Robbery,N/A,M,Adult,18 to 24,447
929,2020,Crimes Against the Person,Robbery,N/A,M,Adult,25 to 34,380
930,2020,Crimes Against the Person,Robbery,N/A,M,Adult,35 to 44,204
931,2020,Crimes Against the Person,Robbery,N/A,M,Adult,45 to 54,190
932,2020,Crimes Against the Person,Robbery,N/A,M,Adult,55 to 64,138
933,2020,Crimes Against the Person,Robbery,N/A,M,Adult,65+,84
934,2020,Crimes Against the Person,Robbery,N/A,M,Child,<12,4
936,2020,Crimes Against the Person,Robbery,N/A,M,Youth,12 to 17,235
937,2020,Crimes Against the Person,Sexual Violation,N/A,F,Adult,18 to 24,446
938,2020,Crimes Against the Person,Sexual Violation,N/A,F,Adult,25 to 34,454
939,2020,Crimes Against the Person,Sexual Violation,N/A,F,Adult,35 to 44,222
940,2020,Crimes Against the Person,Sexual Violation,N/A,F,Adult,45 to 54,104
941,2020,Crimes Against the Person,Sexual Violation,N/A,F,Adult,55 to 64,51
942,2020,Crimes Against the Person,Sexual Violation,N/A,F,Adult,65+,57
943,2020,Crimes Against the Person,Sexual Violation,N/A,F,Child,<12,207
945,2020,Crimes Against the Person,Sexual Violation,N/A,F,Youth,12 to 17,390
946,2020,Crimes Against the Person,Sexual Violation,N/A,M,Adult,18 to 24,28
947,2020,Crimes Against the Person,Sexual Violation,N/A,M,Adult,25 to 34,42
948,2020,Crimes Against the Person,Sexual Violation,N/A,M,Adult,35 to 44,15
949,2020,Crimes Against the Person,Sexual Violation,N/A,M,Adult,45 to 54,15
950,2020,Crimes Against the Person,Sexual Violation,N/A,M,Adult,55 to 64,7
951,2020,Crimes Against the Person,Sexual Violation,N/A,M,Adult,65+,3
952,2020,Crimes Against the Person,Sexual Violation,N/A,M,Child,<12,86
954,2020,Crimes Against the Person,Sexual Violation,N/A,M,Youth,12 to 17,58
958,2021,Crimes Against the Person,Robbery,N/A,M,Youth,12 to 17,198
960,2021,Crimes Against the Person,Sexual Violation,N/A,F,Adult,18 to 24,458
961,2021,Crimes Against the Person,Sexual Violation,N/A,F,Adult,25 to 34,488
962,2021,Crimes Against the Person,Sexual Violation,N/A,F,Adult,35 to 44,235
963,2021,Crimes Against the Person,Sexual Violation,N/A,F,Adult,45 to 54,124
964,2021,Crimes Against the Person,Sexual Violation,N/A,F,Adult,55 to 64,59
965,2021,Crimes Against the Person,Sexual Violation,N/A,F,Adult,65+,51
966,2021,Crimes Against the Person,Sexual Violation,N/A,F,Child,<12,288
968,2021,Crimes Against the Person,Sexual Violation,N/A,F,Youth,12 to 17,507
969,2021,Crimes Against the Person,Sexual Violation,N/A,M,Adult,18 to 24,46
970,2021,Crimes Against the Person,Sexual Violation,N/A,M,Adult,25 to 34,65
971,2021,Crimes Against the Person,Sexual Violation,N/A,M,Adult,35 to 44,27
972,2021,Crimes Against the Person,Sexual Violation,N/A,M,Adult,45 to 54,19
973,2021,Crimes Against the Person,Sexual Violation,N/A,M,Adult,55 to 64,16
974,2021,Crimes Against the Person,Sexual Violation,N/A,M,Adult,65+,14
975,2021,Crimes Against the Person,Sexual Violation,N/A,M,Child,<12,76
977,2021,Crimes Against the Person,Sexual Violation,N/A,M,Youth,12 to 17,62
981,2022,Crimes Against the Person,Assault,Aggravated Peace Officer,M,Adult,25 to 34,1
983,2022,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,18 to 24,5
984,2022,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,25 to 34,24
985,2022,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,35 to 44,11
986,2022,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,45 to 54,3
987,2022,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,65+,16
989,2022,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,18 to 24,8
990,2022,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,25 to 34,61
991,2022,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,35 to 44,42
992,2022,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,45 to 54,44
993,2022,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,55 to 64,9
994,2022,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,65+,53
997,2022,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,F,Adult,25 to 34,2
998,2022,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,F,Adult,35 to 44,1
1000,2022,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,25 to 34,4
1001,2022,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,35 to 44,8
1002,2022,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,45 to 54,1
1003,2022,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,65+,11
1006,2022,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,18 to 24,2
1007,2022,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,25 to 34,3
1008,2022,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,35 to 44,2
1010,2021,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,18 to 24,1
1011,2021,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,25 to 34,16
1012,2021,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,35 to 44,4
1013,2021,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,45 to 54,1
1014,2021,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,55 to 64,3
1015,2021,Crimes Against the Person,Assault,Assault Peace Officer,F,Adult,65+,6
1017,2021,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,18 to 24,5
1018,2021,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,25 to 34,44
1019,2021,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,35 to 44,49
1020,2021,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,45 to 54,29
1021,2021,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,55 to 64,9
1022,2021,Crimes Against the Person,Assault,Assault Peace Officer,M,Adult,65+,31
1025,2021,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,F,Adult,25 to 34,2
1026,2021,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,F,Adult,35 to 44,1
1028,2021,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,25 to 34,4
1029,2021,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,35 to 44,2
1030,2021,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,45 to 54,3
1031,2021,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,55 to 64,3
1032,2021,Crimes Against the Person,Assault,Assault Peace Officer Weapon/Bodily Harm,M,Adult,65+,7
1035,2021,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,18 to 24,4
1036,2021,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,25 to 34,6
1037,2021,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,35 to 44,10
1038,2021,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,55 to 64,1
1039,2021,Crimes Against the Person,Assault,Assault Resist Arrest,F,Adult,65+,4
1041,2021,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,18 to 24,29
1042,2021,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,25 to 34,42
1043,2021,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,35 to 44,12
1044,2021,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,45 to 54,15
1045,2021,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,55 to 64,3
1046,2021,Crimes Against the Person,Assault,Assault Resist Arrest,M,Adult,65+,4
1049,2021,Crimes Against the Person,Assault,Other,F,Adult,18 to 24,1297
1050,2021,Crimes Against the Person,Assault,Other,F,Adult,25 to 34,2365
1051,2021,Crimes Against the Person,Assault,Other,F,Adult,35 to 44,1581
1052,2021,Crimes Against the Person,Assault,Other,F,Adult,45 to 54,1000
1053,2021,Crimes Against the Person,Assault,Other,F,Adult,55 to 64,590
1054,2021,Crimes Against the Person,Assault,Other,F,Adult,65+,435
1055,2021,Crimes Against the Person,Assault,Other,F,Child,<12,247
1057,2021,Crimes Against the Person,Assault,Other,F,Youth,12 to 17,388
1058,2021,Crimes Against the Person,Assault,Other,M,Adult,18 to 24,1080
1059,2021,Crimes Against the Person,Assault,Other,M,Adult,25 to 34,2086
1060,2021,Crimes Against the Person,Assault,Other,M,Adult,35 to 44,1561
1067,2022,Crimes Against the Person,Robbery,N/A,F,Adult,18 to 24,147
1068,2022,Crimes Against the Person,Robbery,N/A,F,Adult,25 to 34,203
1069,2022,Crimes Against the Person,Robbery,N/A,F,Adult,35 to 44,101
1070,2022,Crimes Against the Person,Robbery,N/A,F,Adult,45 to 54,101
1071,2022,Crimes Against the Person,Robbery,N/A,F,Adult,55 to 64,85
1072,2022,Crimes Against the Person,Robbery,N/A,F,Adult,65+,60
1073,2022,Crimes Against the Person,Robbery,N/A,F,Child,<12,6
1075,2022,Crimes Against the Person,Robbery,N/A,F,Youth,12 to 17,58
1076,2022,Crimes Against the Person,Robbery,N/A,M,Adult,18 to 24,348
1077,2022,Crimes Against the Person,Robbery,N/A,M,Adult,25 to 34,384
1078,2022,Crimes Against the Person,Robbery,N/A,M,Adult,35 to 44,228
1079,2022,Crimes Against the Person,Robbery,N/A,M,Adult,45 to 54,150
1080,2022,Crimes Against the Person,Robbery,N/A,M,Adult,55 to 64,160
1081,2022,Crimes Against the Person,Robbery,N/A,M,Adult,65+,92
1082,2022,Crimes Against the Person,Robbery,N/A,M,Child,<12,13
1084,2022,Crimes Against the Person,Robbery,N/A,M,Youth,12 to 17,256
1087,2022,Crimes Against the Person,Sexual Violation,N/A,F,Adult,18 to 24,533
1088,2022,Crimes Against the Person,Sexual Violation,N/A,F,Adult,25 to 34,530
1089,2022,Crimes Against the Person,Sexual Violation,N/A,F,Adult,35 to 44,287
1090,2022,Crimes Against the Person,Sexual Violation,N/A,F,Adult,45 to 54,155
1091,2022,Crimes Against the Person,Sexual Violation,N/A,F,Adult,55 to 64,75
1092,2022,Crimes Against the Person,Sexual Violation,N/A,F,Adult,65+,62
1093,2022,Crimes Against the Person,Sexual Violation,N/A,F,Child,<12,249
1095,2022,Crimes Against the Person,Sexual Violation,N/A,F,Youth,12 to 17,571
1096,2022,Crimes Against the Person,Sexual Violation,N/A,M,Adult,18 to 24,57
1097,2022,Crimes Against the Person,Sexual Violation,N/A,M,Adult,25 to 34,61
1098,2022,Crimes Against the Person,Sexual Violation,N/A,M,Adult,35 to 44,40
1099,2022,Crimes Against the Person,Sexual Violation,N/A,M,Adult,45 to 54,19
1100,2022,Crimes Against the Person,Sexual Violation,N/A,M,Adult,55 to 64,10
1101,2022,Crimes Against the Person,Sexual Violation,N/A,M,Adult,65+,6
1102,2022,Crimes Against the Person,Sexual Violation,N/A,M,Child,<12,84
1104,2022,Crimes Against the Person,Sexual Violation,N/A,M,Youth,12 to 17,93
